demcare_26,What is the nature of a directed task?
demcare_27,Which directed tasks are mono tasks?
demcare_28,Which directed tasks are dual tasks?
demcare_29,Which are the tasks of the semi-directed step?
demcare_30,What are the types of tasks in the discussion with clinician step?
demcare_31,Which are the directed discussion tasks?
demcare_32,Which are the free discussion tasks?
demcare_33,What is assessed in the walking task?
demcare_34,What is assessed in the counting backwards task?
demcare_35,What is assessed in the walking and counting backwards task?
demcare_36,What is assessed in the sentence repeating task?
demcare_37,What is assessed in the articulation control task?
demcare_38,What is assessed in the tasks of the semi-directed protocol step?
demcare_39,What is assessed in the tasks of the discussion with clinician step?
demcare_40,What data are measured for gait assessment?
demcare_41,What data are measured for dynamic balance?
demcare_42,What data are measured for step length?
demcare_43,What data are measured for walking speed?
demcare_44,What data are measured for walking speed instantaneous?
demcare_45,What data are measured for stopping displacement?
demcare_46,What data are measured for latency?
demcare_47,What data are measured for stress?
demcare_48,What data are measured for cognitive and neuromuscular assessment?
demcare_49,What data are measured for affective state assessment?
demcare_50,What data are measured for interaction assessment?
demcare_51,What data are measured for neuromuscular impairment in speech production mechanism?
demcare_52,What data are measured for cognitive abilities assessment?
demcare_53,What data are measured for organizational efficiency assessment?
demcare_54,What data are measured for functional abilities assessment?
demcare_55,What functional areas are of clinical relevance for the home and nursing home environments?
demcare_56,How are the statistics and identified problematic situations about the monitored functional areas reported to the clinician?
demcare_57,What types of questionnaires are administered for self-assessment?
demcare_58,What activities (situations) are of clinical interest with respect to sleep?
demcare_59,What information is of clinical interest regarding night sleep?
demcare_60,What information is of clinical interest regarding a nap?
demcare_61,What information is of clinical interest regarding an awakening?
demcare_62,What information is of clinical interest regarding a bed exit?
demcare_63,What information if of clinical interest regarding a night bathroom visit?
demcare_64,What information is clinically relevant for sleep assessment?
demcare_65,What sleep-related situations indicate a problem or possibly problematic behaviour that needs to be highlighted to the clinician?
demcare_66,What activities (situations) are of clinical interest with respect to ADLs?
demcare_67,What information is of clinical interest regarding food and drink preparation?
demcare_68,What information is of clinical interest regarding food and drink consumption?
demcare_69,What information is of clinical interest regarding housekeeping?
demcare_70,What information is of clinical interest regarding personal hygiene?
demcare_71,What food and drink preparation-related situations indicate a problem or possibly problematic behaviour that needs to be highlighted to the clinician?
demcare_72,What food and drink consumption-related situations indicate a problem or possibly problematic behaviour that needs to be highlighted to the clinician?
demcare_73,What housekeeping-related situations indicate a problem or possibly problematic behaviour that needs to be highlighted to the clinician? 
demcare_74,What personal hygiene-related situations indicate a problem or possibly problematic behaviour that needs to be highlighted to the clinician?
demcare_75,What activities (situations) are of clinical interest with respect to social interaction?
demcare_76,What information is clinically relevant for social interaction assessment?
demcare_77,What social interaction related situations indicate a problem or possibly problematic behaviour that needs to be highlighted to the clinician?
demcare_78,What activities (situations) are of clinical interest with respect to physical activity?
demcare_79,What information is clinically relevant for walking?
demcare_80,What information is clinically relevant for dedicated physical activities (i.e. exercises)?
demcare_81,What information is clinically relevant for physical activity assessment?
demcare_82,What physical activity related situations indicate a problem or possibly problematic behaviour that needs to be highlighted to the clinician?
demcare_83,What are the main types of entities?
demcare_84,What are the main categories a person may belong to?
demcare_85,What are the main types of objects?
demcare_86,What are the main categories of places?
demcare_87,What are the types of indoor place?
demcare_88,What are the main types of events?
demcare_89,What are the main types of information describing an event?
demcare_90,What are the main categories of events?
demcare_91,What activities are detected?
demcare_92,What states are detected?
demcare_93,What object related events are detected?
demcare_94,What ambient measurements are detected?
demcare_95,What physiological measurements are detected?
demcare_96,What activities are inferred?
demcare_97, What are the main types of data considered?
demcare_98,What are the main types of data an observation may refer to?
demcare_99,What types of descriptive information are relevant to an observation? 
demcare_100,What are the main types of data a report may refer to?
demcare_101,What types of descriptive information are relevant to a report? 
demcare_102,What are the main types of data an interpretation result may refer to? 
demcare_103,What types of descriptive information are relevant to a result? 
demcare_104,What are the main types of sensors? 
demcare_105,What are the possible types of wearable sensors? 
demcare_106,What are the possible types of fixed sensors?
demcare_107,What are the possible types processing components?
,
,
,
Ontology name:,OntoDT
URI: ,http://ontodm.com/ontodt/OntoDT.owl
Publication:,"P.Panov, L.N.Soldatova, S.Dzeroski,Generic ontology of datatypes, Inf. Sci. 329 (C) (2016) 900 920. doi:10.1016/j.ins.2015.08.006. URL https://doi.org/10.1016/j.ins.2015.08.006"
CQs URI:,http://www.ontodm.com/doku.php?id=ontodt
Comments,dematerialised components highlighted
ID,CQ
ontodt_01,What is the set of characterizing operations for [a datatype X]?
ontodt_02,What is the set of datatype qualities for [a datatype X]?
ontodt_03,What is the value space for [a datatype X]?
ontodt_04,What is the set of datatypes that have [a datatype quality X]?
ontodt_05,What is the set of datatypes that have [a characterizing operation X]?
ontodt_06,What is the set of datatypes that have [a datatype quality X] and [characterizing operation Y]?
ontodt_07,What are the aggregated datatypes that have [an aggregate generator property X]?
ontodt_08,What is the set of aggregate properties for [an aggregate datatype X]?
ontodt_09,What are the field components for [a tuple datatype X]?
ontodt_10,What is the base datatype for [a set datatype X]?
ontodt_11,What is the base datatype for [an extended datatype X]?
ontodt_12,What is the subtype generator for [an extended datatype X]?
ontodt_13,What is the set of extended datatypes that have [datatype X] as their base datatype?
ontodt_14,What is the set of extended datatypes that are generated by [a subtype generator X]?
,
